timestamp,price,jup_li_zscore7d_signal,ba_oi_zscore7d_signal,cme_oi_zscore7d_signal,all_miner_outflow,binance_btc_inflow,binance_btc_netflow,binance_btc_outflow,long_term_holder_sopr,MVMR,short_term_holder_sorp,WBTC_long_diff,WBTC_short_diff,all_miner_reverse_usd_diff,binance_reverse_usd_diff,btc_network_difficulity_diff,btc_network_hashrate_diff,exchange_stable_ratio_diff,open_interest_diff,realized_cap_diff
2025-03-17 06:00:00,83185.8,-0.0254589296671963,0.9687807415168452,-0.8628010782110189,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 07:00:00,83525.2,-0.0389105570016072,0.967954771462258,-0.8524650438373795,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 08:00:00,83500.1,-0.052786568388885,0.96712981277228,-0.8422171083017674,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 09:00:00,83620.0,-0.0671251675359406,0.966305862930528,-0.8320540147292429,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 10:00:00,83299.7,-0.081969479391002,0.965482919429276,-0.8219725826635786,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 11:00:00,83475.0,-0.0973684183878705,0.9646609797693992,-0.8119697030586838,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 12:00:00,83009.1,-0.1133777531330165,0.9638400414603706,-0.8020423334409674,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 13:00:00,82971.4,-0.130061422612602,0.9630201020201696,-0.7921874932249303,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 14:00:00,82873.1,-0.1474931776803289,0.96220115897528,-0.7824022591648059,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 15:00:00,83499.0,-0.1657586478121578,0.9613832098606432,-0.7726837609257885,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
